10000, 6, 0.367321
10000, 6, 0.374887
10000, 6, 0.240895
10000, 6, 0.241787
10000, 6, 0.242084
10000, 6, 0.363757
10000, 6, 0.242288
10000, 6, 0.242996
10000, 6, 0.242281
10000, 6, 0.243445
10000, 12, 0.326063
10000, 12, 0.464496
10000, 12, 0.463092
10000, 12, 0.401964
10000, 12, 0.336290
10000, 12, 0.329201
10000, 12, 0.474041
10000, 12, 0.333253
10000, 12, 0.470975
10000, 12, 0.333376
10000, 18, 0.363431
10000, 18, 0.409422
10000, 18, 0.413276
10000, 18, 0.408385
10000, 18, 0.407538
10000, 18, 0.413991
10000, 18, 0.361073
10000, 18, 0.411884
10000, 18, 0.408384
10000, 18, 0.414732
10000, 24, 0.343320
10000, 24, 0.412162
10000, 24, 0.414091
10000, 24, 0.414053
10000, 24, 0.416856
10000, 24, 0.420735
10000, 24, 0.410874
10000, 24, 0.468884
10000, 24, 0.415695
10000, 24, 0.419333
10000, 30, 0.404704
10000, 30, 0.337265
10000, 30, 0.391409
10000, 30, 0.389894
10000, 30, 0.394689
10000, 30, 0.390270
10000, 30, 0.393660
10000, 30, 0.336044
10000, 30, 0.392391
10000, 30, 0.389759
